Accession ID,Sample Collection Date,Location,lat,lon
MT325570,2020/3/5,United States/GA,32.648324554000055,-83.44453440099994
MT325571,2020/3/20,United States/GA,32.648324554000055,-83.44453440099994
MT325572,2020/3/8,United States/GA,32.648324554000055,-83.44453440099994
MT325573,2020/3/20,United States/GA,32.648324554000055,-83.44453440099994
MT325574,2020/3/20,United States/GA,32.648324554000055,-83.44453440099994
MT325575,2020/3/10,United States/GA,32.648324554000055,-83.44453440099994
MT325576,2020/3/8,United States/IA,42.07469810400005,-93.49997241099999
MT325577,2020/3/7,United States/IL,40.11404657000003,-89.15865090199998
MT325578,2020/3/7,United States/IL,40.11404657000003,-89.15865090199998
MT325579,2020/3/9,United States/IN,39.91980696400003,-86.28179348799995
MT325580,2020/3/6,United States/KS,38.48472671300004,-98.38017062899996
MT325581,2020/3/9,United States/LA,30.18584616700008,-91.42641999999995
MT325582,2020/3/5,United States/MA,42.35867032400006,-71.71818499999995
MT325583,2020/3/6,United States/MA,42.35867032400006,-71.71818499999995
MT325584,2020/3/6,United States/MA,42.35867032400006,-71.71818499999995
MT325585,2020/3/6,United States/MA,42.35867032400006,-71.71818499999995
MT325586,2020/3/7,United States/MA,42.35867032400006,-71.71818499999995
MT325587,2020/3/4,United States/MD,38.81819928400006,-76.15872999999993
MT325588,2020/3/6,United States/MO,38.36798274600005,-92.47774661699998
MT325589,2020/3/8,United States/NC,35.53934433500007,-79.18541791299998
MT325590,2020/3/7,United States/NC,35.53934433500007,-79.18541791299998
MT325591,2020/3/6,United States/NC,35.53934433500007,-79.18541791299998
MT325592,2020/3/5,United States/NE,41.527270326000064,-99.81110730699999
MT325593,2020/3/7,United States/NE,41.527270326000064,-99.81110730699999
MT325594,2020/3/6,United States/NH,43.685525247000044,-71.57759673799995
MT325595,2020/3/6,United States/NH,43.685525247000044,-71.57759673799995
MT325596,2020/3/4,United States/NJ,39.61334835300005,-74.72856499999995
MT325597,2020/3/9,United States/NV,39.356482037000035,-116.65543640499999
MT325598,2020/3/8,United States/OH,40.41305679900006,-82.71121518599995
MT325599,2020/3/5,United States/PA,40.89651165400005,-77.83875077599998
MT325600,2020/3/5,United States/PA,40.89651165400005,-77.83875077599998
MT325601,2020/3/7,United States/PA,40.89651165400005,-77.83875077599998
MT325602,2020/3/8,United States/PA,40.89651165400005,-77.83875077599998
MT325603,2020/3/9,United States/PA,40.89651165400005,-77.83875077599998
MT325604,2020/3/6,United States/PA,40.89651165400005,-77.83875077599998
MT325605,2020/3/5,United States/RI,41.48871294000003,-71.45431946699995
MT325606,2020/3/6,United States/SC,33.90386340900005,-80.89375234699997
MT325607,2020/3/7,United States/SC,33.90386340900005,-80.89375234699997
MT325608,2020/3/8,United States/SC,33.90386340900005,-80.89375234699997
MT325609,2020/3/5,United States/UT,39.32372519300003,-111.67824839099995
MT325610,2020/3/7,United States/UT,39.32372519300003,-111.67824839099995
MT325611,2020/3/8,United States/VA,37.51282050400005,-78.69794871299996
MT325612,2020/3/8,United States/VA,37.51282050400005,-78.69794871299996
MT325613,2020/3/8,United States/VA,37.51282050400005,-78.69794871299996
MT325614,2020/3/8,United States/VA,37.51282050400005,-78.69794871299996
MT325615,2020/3/7,United States/IA,42.07469810400005,-93.49997241099999
MT325616,2020/3/6,United States/MA,42.35867032400006,-71.71818499999995
MT325617,2020/3/8,United States/IA,42.07469810400005,-93.49997241099999
MT325618,2020/3/8,United States/IA,42.07469810400005,-93.49997241099999
MT325619,2020/3/8,United States/IA,42.07469810400005,-93.49997241099999
MT325620,2020/3/8,United States/IA,42.07469810400005,-93.49997241099999
MT325621,2020/3/7,United States/IA,42.07469810400005,-93.49997241099999
MT325622,2020/3/4,United States/NJ,39.61334835300005,-74.72856499999995
MT325623,2020/3/5,United States/SC,33.90386340900005,-80.89375234699997
MT325624,2020/3/7,United States/SC,33.90386340900005,-80.89375234699997
MT325625,2020/3/7,United States/SC,33.90386340900005,-80.89375234699997
MT325626,2020/3/5,United States/SC,33.90386340900005,-80.89375234699997
MT325627,2020/3/4,United States/NY,40.71455000000003,-74.00713999999994
MT325628,2020/3/6,United States/VA,37.51282050400005,-78.69794871299996
MT325629,2020/3/5,United States/MA,42.35867032400006,-71.71818499999995
MT325630,2020/3/5,United States/MA,42.35867032400006,-71.71818499999995
MT325631,2020/3/5,United States/MA,42.35867032400006,-71.71818499999995
MT325632,2020/3/4,United States/MA,42.35867032400006,-71.71818499999995
MT325633,2020/3/4,United States/MA,42.35867032400006,-71.71818499999995
MT325634,2020/3/5,United States/MA,42.35867032400006,-71.71818499999995
MT325635,2020/3/6,United States/MA,42.35867032400006,-71.71818499999995
MT325636,2020/3/6,United States/MA,42.35867032400006,-71.71818499999995
MT325637,2020/3/6,United States/MA,42.35867032400006,-71.71818499999995
MT325638,2020/3/6,United States/MA,42.35867032400006,-71.71818499999995
MT325639,2020/3/7,United States/MA,42.35867032400006,-71.71818499999995
MT325640,2020/3/6,United States/MA,42.35867032400006,-71.71818499999995
MT327745,2020/3/17,Turkey,39.066250645000025,35.142286272000035
MT328032,2020/3/18,Greece,39.00000000000006,22.000000000000057
MT328033,2020/3/18,Greece,39.00000000000006,22.000000000000057
MT328034,2020/3/18,Greece,39.00000000000006,22.000000000000057
MT328035,2020/3/18,Greece,39.00000000000006,22.000000000000057
CNA0013697,2020/1/26,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
CNA0013698,2020/1/26,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
CNA0013699,2020/1/29,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
CNA0013700,2020/1/31,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
CNA0013701,2020/1/31,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
CNA0013702,2020/1/26,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
CNA0013703,2020/1/28,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
CNA0013704,2020/1/29,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
CNA0013705,2020/1/29,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
CNA0013708,2020/1/26,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
